product_id,entry_name,collection_id,status,rows,csv_file,logged_at
S3B_OL_2_WFR____20250614T142403_20250614T142703_20250615T215302_0179_107_324_2700_MAR_O_NT_003.SEN3,20250614T142403,EO:EUM:DAT:0407,ok,1190,20250614T142403.csv,2025-10-30T19:45:24Z
S3A_OL_2_WFR____20250615T143637_20250615T143937_20250616T210240_0179_127_096_2700_MAR_O_NT_003.SEN3,20250615T143637,EO:EUM:DAT:0407,ok,1182,20250615T143637.csv,2025-10-30T19:46:32Z
S3A_OL_2_WFR____20250616T141026_20250616T141326_20250617T212519_0179_127_110_2700_MAR_O_NT_003.SEN3,20250616T141026,EO:EUM:DAT:0407,ok,1205,20250616T141026.csv,2025-10-30T19:47:57Z
S3B_OL_2_WFR____20250617T144630_20250617T144930_20250618T213420_0179_107_367_2700_MAR_O_NT_003.SEN3,20250617T144630,EO:EUM:DAT:0407,ok,1180,20250617T144630.csv,2025-10-30T19:49:23Z
S3B_OL_2_WFR____20250618T142019_20250618T142319_20250619T204133_0179_107_381_2700_MAR_O_NT_003.SEN3,20250618T142019,EO:EUM:DAT:0407,ok,1189,20250618T142019.csv,2025-10-30T19:50:48Z
S3A_OL_2_WFR____20250619T143253_20250619T143553_20250620T215351_0180_127_153_2700_MAR_O_NT_003.SEN3,20250619T143253,EO:EUM:DAT:0407,ok,1187,20250619T143253.csv,2025-10-30T19:52:11Z
S3A_OL_2_WFR____20250620T140642_20250620T140942_20250621T211259_0179_127_167_2700_MAR_O_NT_003.SEN3,20250620T140642,EO:EUM:DAT:0407,ok,1194,20250620T140642.csv,2025-10-30T19:53:31Z
S3B_OL_2_WFR____20210806T142708_20210806T143008_20210808T034409_0179_055_267_2700_MAR_O_NT_003.SEN3,20210806T142708,EO:EUM:DAT:0407,ok,1187,20210806T142708.csv,2025-10-31T14:26:10Z
S3B_OL_2_WFR____20210807T140058_20210807T140358_20210809T031557_0179_055_281_2700_MAR_O_NT_003.SEN3,20210807T140058,EO:EUM:DAT:0407,ok,1199,20210807T140058.csv,2025-10-31T14:27:40Z
S3A_OL_2_WFR____20210807T144016_20210807T144316_20210809T031536_0180_075_039_2700_MAR_O_NT_003.SEN3,20210807T144016,EO:EUM:DAT:0407,ok,1174,20210807T144016.csv,2025-10-31T14:29:04Z
S3A_OL_2_WFR____20210808T141405_20210808T141705_20210810T013552_0179_075_053_2700_MAR_O_NT_003.SEN3,20210808T141405,EO:EUM:DAT:0407,ok,1190,20210808T141405.csv,2025-10-31T14:30:27Z
S3B_OL_2_WFR____20210810T142324_20210810T142624_20210812T025446_0180_055_324_2700_MAR_O_NT_003.SEN3,20210810T142324,EO:EUM:DAT:0407,ok,1190,20210810T142324.csv,2025-10-31T14:32:02Z
S3A_OL_2_WFR____20210811T143631_20210811T143931_20210813T035107_0179_075_096_2700_MAR_O_NT_003.SEN3,20210811T143631,EO:EUM:DAT:0407,ok,1184,20210811T143631.csv,2025-10-31T14:33:31Z
