date,filename
2025-01-01,INSOLRICO.2025001.gz
2025-01-02,INSOLRICO.2025002.gz
2025-01-03,INSOLRICO.2025003.gz
2025-01-04,INSOLRICO.2025004.gz
2025-01-05,INSOLRICO.2025005.gz
2025-01-06,INSOLRICO.2025006.gz
2025-01-07,INSOLRICO.2025007.gz
2025-01-08,INSOLRICO.2025008.gz
2025-01-09,INSOLRICO.2025009.gz
2025-01-10,INSOLRICO.2025010.gz
2025-01-11,INSOLRICO.2025011.gz
2025-01-12,INSOLRICO.2025012.gz
2025-01-13,INSOLRICO.2025013.gz
2025-01-14,INSOLRICO.2025014.gz
2025-01-15,INSOLRICO.2025015.gz
2025-01-16,INSOLRICO.2025016.gz
2025-01-17,INSOLRICO.2025017.gz
2025-01-18,INSOLRICO.2025018.gz
2025-01-19,INSOLRICO.2025019.gz
2025-01-20,INSOLRICO.2025020.gz
2025-01-21,INSOLRICO.2025021.gz
2025-01-22,INSOLRICO.2025022.gz
2025-01-23,INSOLRICO.2025023.gz
2025-01-24,INSOLRICO.2025024.gz
2025-01-25,INSOLRICO.2025025.gz
2025-01-26,INSOLRICO.2025026.gz
2025-01-27,INSOLRICO.2025027.gz
2025-01-28,INSOLRICO.2025028.gz
2025-01-29,INSOLRICO.2025029.gz
2025-01-30,INSOLRICO.2025030.gz
2025-02-02,INSOLRICO.2025033.gz
2025-02-03,INSOLRICO.2025034.gz
2025-02-04,INSOLRICO.2025035.gz
2025-02-05,INSOLRICO.2025036.gz
2025-02-06,INSOLRICO.2025037.gz
2025-02-07,INSOLRICO.2025038.gz
2025-02-08,INSOLRICO.2025039.gz
2025-02-09,INSOLRICO.2025040.gz
2025-02-10,INSOLRICO.2025041.gz
2025-02-11,INSOLRICO.2025042.gz
2025-02-12,INSOLRICO.2025043.gz
2025-02-13,INSOLRICO.2025044.gz
2025-02-14,INSOLRICO.2025045.gz
2025-02-15,INSOLRICO.2025046.gz
2025-02-16,INSOLRICO.2025047.gz
2025-02-17,INSOLRICO.2025048.gz
2025-02-20,INSOLRICO.2025051.gz
2025-02-21,INSOLRICO.2025052.gz
2025-02-22,INSOLRICO.2025053.gz
2025-02-23,INSOLRICO.2025054.gz
2025-02-25,INSOLRICO.2025056.gz
2025-02-26,INSOLRICO.2025057.gz
2025-02-27,INSOLRICO.2025058.gz
2025-03-04,INSOLRICO.2025063.gz
2025-03-05,INSOLRICO.2025064.gz
2025-03-06,INSOLRICO.2025065.gz
2025-03-07,INSOLRICO.2025066.gz
2025-03-13,INSOLRICO.2025072.gz
2025-03-14,INSOLRICO.2025073.gz
2025-03-15,INSOLRICO.2025074.gz
2025-03-16,INSOLRICO.2025075.gz
2025-03-17,INSOLRICO.2025076.gz
2025-03-18,INSOLRICO.2025077.gz
2025-03-19,INSOLRICO.2025078.gz
2025-03-20,INSOLRICO.2025079.gz
2025-03-21,INSOLRICO.2025080.gz
2025-03-22,INSOLRICO.2025081.gz
2025-03-23,INSOLRICO.2025082.gz
2025-03-24,INSOLRICO.2025083.gz
2025-03-25,INSOLRICO.2025084.gz
2025-03-26,INSOLRICO.2025085.gz
2025-03-27,INSOLRICO.2025086.gz
2025-03-28,INSOLRICO.2025087.gz
2025-03-29,INSOLRICO.2025088.gz
2025-03-30,INSOLRICO.2025089.gz
2025-03-31,INSOLRICO.2025090.gz
2025-04-01,INSOLRICO.2025091.gz
2025-04-02,INSOLRICO.2025092.gz
2025-04-03,INSOLRICO.2025093.gz
2025-04-04,INSOLRICO.2025094.gz
2025-04-05,INSOLRICO.2025095.gz
2025-04-06,INSOLRICO.2025096.gz
2025-04-07,INSOLRICO.2025097.gz
2025-04-08,INSOLRICO.2025098.gz
2025-04-09,INSOLRICO.2025099.gz
2025-04-10,INSOLRICO.2025100.gz
2025-04-11,INSOLRICO.2025101.gz
2025-04-12,INSOLRICO.2025102.gz
2025-04-13,INSOLRICO.2025103.gz
2025-04-14,INSOLRICO.2025104.gz
2025-04-15,INSOLRICO.2025105.gz
2025-04-16,INSOLRICO.2025106.gz
2025-04-17,INSOLRICO.2025107.gz
2025-04-18,INSOLRICO.2025108.gz
2025-04-19,INSOLRICO.2025109.gz
2025-04-20,INSOLRICO.2025110.gz
2025-04-21,INSOLRICO.2025111.gz
2025-04-22,INSOLRICO.2025112.gz
2025-04-23,INSOLRICO.2025113.gz
2025-04-24,INSOLRICO.2025114.gz
2025-04-25,INSOLRICO.2025115.gz
2025-04-26,INSOLRICO.2025116.gz
2025-04-27,INSOLRICO.2025117.gz
2025-04-28,INSOLRICO.2025118.gz
2025-04-29,INSOLRICO.2025119.gz
2025-04-30,INSOLRICO.2025120.gz
2025-05-01,INSOLRICO.2025121.gz
2025-05-02,INSOLRICO.2025122.gz
2025-05-03,INSOLRICO.2025123.gz
2025-05-04,INSOLRICO.2025124.gz
2025-05-05,INSOLRICO.2025125.gz
2025-05-06,INSOLRICO.2025126.gz
2025-05-07,INSOLRICO.2025127.gz
2025-05-08,INSOLRICO.2025128.gz
2025-05-09,INSOLRICO.2025129.gz
2025-05-10,INSOLRICO.2025130.gz
2025-05-11,INSOLRICO.2025131.gz
2025-05-12,INSOLRICO.2025132.gz
2025-05-13,INSOLRICO.2025133.gz
2025-05-14,INSOLRICO.2025134.gz
2025-05-15,INSOLRICO.2025135.gz
2025-05-16,INSOLRICO.2025136.gz
2025-05-17,INSOLRICO.2025137.gz
2025-05-18,INSOLRICO.2025138.gz
2025-05-19,INSOLRICO.2025139.gz
2025-05-20,INSOLRICO.2025140.gz
2025-05-21,INSOLRICO.2025141.gz
2025-05-22,INSOLRICO.2025142.gz
2025-05-23,INSOLRICO.2025143.gz
2025-05-24,INSOLRICO.2025144.gz
2025-05-25,INSOLRICO.2025145.gz
2025-05-26,INSOLRICO.2025146.gz
2025-05-27,INSOLRICO.2025147.gz
2025-05-28,INSOLRICO.2025148.gz
2025-05-29,INSOLRICO.2025149.gz
2025-05-30,INSOLRICO.2025150.gz
2025-05-31,INSOLRICO.2025151.gz
2025-06-01,INSOLRICO.2025152.gz
2025-06-02,INSOLRICO.2025153.gz
2025-06-03,INSOLRICO.2025154.gz
2025-06-04,INSOLRICO.2025155.gz
2025-06-05,INSOLRICO.2025156.gz
2025-06-06,INSOLRICO.2025157.gz
2025-06-07,INSOLRICO.2025158.gz
2025-06-08,INSOLRICO.2025159.gz
2025-06-09,INSOLRICO.2025160.gz
2025-06-10,INSOLRICO.2025161.gz
2025-06-11,INSOLRICO.2025162.gz
2025-06-12,INSOLRICO.2025163.gz
2025-06-13,INSOLRICO.2025164.gz
2025-06-14,INSOLRICO.2025165.gz
2025-06-15,INSOLRICO.2025166.gz
